sp19_student,Carnegie Mellon University,Computer Science,https://www.csd.cs.cmu.edu/directory/faculty
sp19_student,Stanford University,Computer Science,https://www.cs.stanford.edu/directory/faculty
sp19_student,University of Illinois in Chicago,Computer Science,https://cs.uic.edu/faculty-staff/faculty/
sp19_student,University of Chicago,Computer Science,https://www.cs.uchicago.edu/people/faculty/
sp19_student,Virrginia Tech,Computer Science,https://cs.vt.edu/People/Faculty.html
sp19_student,Purdue University,Computer Science,https://www.cs.purdue.edu/people/faculty/index.html
sp19_student,University of Washington,Computer Science,https://www.cs.washington.edu
sp19_student,MIT,Computer Science,https://www.eecs.mit.edu/people/faculty-advisors
sp19_student,Georgia Tech,Computer Science,https://www.scs.gatech.edu/people/faculty
sp19_student,UCLA,Computer Science,https://www.cs.ucla.edu/faculty/
sp19_student,The University of Texas at Austin,Computer Science,https://www.cs.utexas.edu/faculty
sp19_student,University of Wisconsin-Madison,Computer Science,https://www.cs.wisc.edu/people/faculty/
sp19_student,UC Berkeley,Computer Science,https://www2.eecs.berkeley.edu/Faculty/Lists/CS/faculty.html
sp19_student,California Institute of Technology ,Computer Science,http://www.cms.caltech.edu/people
sp19_student,Cornell University ,Computer Science,https://www.cs.cornell.edu/people/faculty
sp19_student,University of Colorado Boulder,Computer Science,https://www.colorado.edu/cs/faculty
sp19_student,Michigan State University,Computer Science and Engineering,http://www.cse.msu.edu/People/
sp19_student,University of Pennsylvania,Computer and Information Science,http://www.cis.upenn.edu/about-people/index.php
sp19_student,University of Michigan,Computer Science and Engineering,http://www.eecs.umich.edu/eecs/faculty/csefaculty.html
sp19_student,University of Alabama,Computer Science,http://cs.ua.edu/people/
sp19_student,Cambridge University,Computer Science,https://www.cl.cam.ac.uk/people/academic.html
sp19_student,University of Melbourne,Computer Science,https://cis.unimelb.edu.au/people/
sp19_student,Rice University,Computer Science,https://csweb.rice.edu/faculty
sp19_student,University of Toronto,Computer Science,http://web.cs.toronto.edu/people/faculty.htm
sp19_student,University of Georgia,Computer Science,http://www.cs.uga.edu/faculty-directory
sp19_student,Johns Hopkins University,Computer Science,https://www.cs.jhu.edu/faculty/
sp19_student,University of British Columbia,Computer Science,https://www.cs.ubc.ca/our-department/people/faculty
sp19_student,University of Southern California,Computer Science,https://www.cs.usc.edu/directory/faculty/
sp19_student,University of North Carolina at Chapel Hill,Computer Science,https://cs.unc.edu/people-page/faculty/
sp19_student,Harvard University,Computer Science,https://www.seas.harvard.edu/computer-science/people
sp19_student,UC Davis,Computer Science,https://www.cs.ucdavis.edu/people/faculty/
sp19_student,Texas Tech University,Computer Science,https://www.depts.ttu.edu/cs/faculty/
sp19_student,University of Oxford ,Computer Science,http://www.cs.ox.ac.uk/people/faculty.html
sp19_student,UC San Diego,Computer Science and Engineering,https://cse.ucsd.edu/people/faculty-profiles/faculty
sp19_student,San Francisco State University,Computer Science,https://cs.sfsu.edu/people/faculty-and-staff
sp19_student,Ohio State University,Computer Science,https://cse.osu.edu/about-us/faculty
sp19_student,University of Rochester,Computer Science,http://www.cs.rochester.edu/wcms/people/faculty/
sp19_student,Duke University ,Computer Science ,https://www.cs.duke.edu/people/faculty
sp19_student,UC Santa Barbara,Computer Science,https://www.cs.ucsb.edu/people
sp19_student,University of Oklahoma,Computer Science,http://www.ou.edu/coe/cs/people
sp19_student,Yale University,Computer Science,https://cpsc.yale.edu/people/faculty
sp19_student,Princeton University,Computer Science,https://www.cs.princeton.edu/people/faculty
sp19_student,Brown University,Computer Science,http://cs.brown.edu/people/faculty/
sp19_student,Boston University,Computer Science,https://www.bu.edu/cs/people/faculty/
sp19_student,Columbia University,Computer Science,https://www.cs.columbia.edu/people/faculty/
sp19_student,New York University,Computer Science,https://cs.nyu.edu/
sp19_student,Northeastern University,Computer Science,https://www.khoury.northeastern.edu/role/teaching-faculty/
sp19_student,University of Wisconsin-Greenbay,Computer Science,https://www.uwgb.edu/computer-science/faculty-staff/
sp19_student,Florida International University,Computer and Information Science,https://www.cis.fiu.edu/people/faculty/
sp19_student,Tufts University,Computer Science,https://engineering.tufts.edu/cs/people/faculty
sp19_student,Georgetown University,Computer Science,https://cs.georgetown.edu/people/faculty
sp19_student,University of Pennsylvania,Bio Engineering,"http://www.ese.upenn.edu/about-people/index.php
"
sp19_student,North Carolina State University,Computer Science,https://www.csc.ncsu.edu/directories/faculty.php
sp19_student,UC Irvine,Computer Science,https://www.ics.uci.edu/faculty/
sp19_student,Rensselaer Polytechnic Institute,Computer Science,https://science.rpi.edu/computer-science/faculty
sp19_student,UC Santa Cruz,Computer Science and Engineering ,https://www.soe.ucsc.edu/departments/computer-science-engineering/people/faculty
sp19_student,Stony Brook University,Computer Science,https://www.cs.stonybrook.edu/people/faculty
sp19_student,University of Minnesota,Computer Science and Engineering ,https://www.cs.umn.edu/people/faculty
sp19_student,UNIVERSITY OF MARYLAND,Computer Science,https://www.cs.umd.edu/people/faculty
sp19_student,Pomona College,Computer Science,https://www.pomona.edu/academics/departments/computer-science/faculty-staff
sp19_student,University of Edinburgh,Computer Science ,https://www.ed.ac.uk/informatics/people/academic
sp19_student,McGill University,Computer Science,https://www.cs.mcgill.ca/people/faculty/
sp19_student,Arizona State University,Comptuer Science,https://cidse.engineering.asu.edu/facultyandresearch/directory/faculty/
sp19_student,university of miami,Computer Science,https://csc.as.miami.edu/people/index.html
sp19_student,Marquette University,Computer Science,https://www.marquette.edu/mscs/facstaff-fac-directory.shtml
sp19_student,Vanderbilt University,Electrical Engineering and Computer Science,https://engineering.vanderbilt.edu/eecs/faculty-staff/index.php
sp19_student,Penn State University,Electrical Engineering and Computer Science,https://www.eecs.psu.edu/departments/cse-faculty-list.aspx
sp19_student,San Jose State Univeristy,Computer Science ,http://www.sjsu.edu/cs/community/faculty/index.html
sp19_student,Emory University,Computer Science,http://cs.emory.edu/people/faculty/asDir/
sp19_student,University of Illinois at Chicago,Computer Science,https://www.cs.uic.edu/staff/
sp19_student,University of Illinois at Chicago,Electrical & Computer Engineering,https://www.ece.uic.edu/faculty-staff/
sp19_student,Washington University in St. Louis,Computer Science,https://cse.wustl.edu/faculty/Pages/default.aspx
sp19_student,San Jose State Univeristy,Computer Science,https://www1.cs.ucr.edu/about/faculty
sp19_student,Carnegie Mellon University,Computer Science,https://www.csd.cs.cmu.edu/directory/faculty
sp19_student,Univeristy of Texas Arlington,Computer Science,https://cse.uta.edu/faculty-directory.php
sp19_student,Rutgers University,Computer Science,https://www.cs.rutgers.edu/
sp19_student,University of Kentucky,Electrical and Computer Engineering,https://www.engr.uky.edu/research-faculty/departments/electrical-computer-engineering/people
sp19_student,University of Virginia,computer science,https://engineering.virginia.edu/departments/computer-science/faculty
sp19_student,University of california san diego,electrical and computer engineering,http://www.ece.ucsd.edu/people/faculty
sp19_student,University of Massachusetts Amherst,Information and Computer Sciences,https://www.cics.umass.edu/people/all-faculty-staff
sp19_student,"University of Florida, Gainsville",Computer & Information Science & Engineering,https://www.cise.ufl.edu/people/faculty/
sp19_student,Brandeis University ,Computer Science ,http://www.brandeis.edu/computer-science/people/index.html
sp19_student,Wellesley College,Computer Science,https://www.wellesley.edu/cs/faculty
sp19_student,Nanyang Technological University (NTU),Computer Science and Engineering,http://scse.ntu.edu.sg/Research/DMAL/people/Pages/Faculty.aspx
sp19_student,University of Oregon,Computer and Information Science,https://cs.uoregon.edu/people/faculty
sp19_student,University of Cincinnati,Electrical Engineering and Computer Science,https://ceas.uc.edu/academics/departments/electrical-engineering-computer-science/faculty.html
sp19_student,University of Notre Dame,Computer Science and Engineering,https://cse.nd.edu/people/faculty
sp19_student,Temple University,Computer & Information Sciences,https://cis.temple.edu/people/faculty/tenure
sp19_student,College of William and Mary,Computer Science,https://www.wm.edu/as/computerscience/faculty/index.php
sp19_student,Texas A and M,ECE,https://engineering.tamu.edu/electrical/profiles/index.html
sp19_student,Imperial College London,Department of Computing,https://www.imperial.ac.uk/computing/people/academic-staff/
sp19_student,University of California Merced,Electrical Engineering and Computer Science,http://eecs.ucmerced.edu/people
sp19_student,University of Central Florida,Computer Science,http://www.cs.ucf.edu/people/index.php
sp19_student,Massachusetts Institute of Technology,Electronical Engineering and Computer Science,https://www.cse.iitb.ac.in/page14
sp19_student,University of Wyoming,Computer Science,http://www.uwyo.edu/cosc/cosc-directory/
sp19_student,Harvey Mudd College,Computer Science,https://www.cs.hmc.edu/people/
sp19_student,Kent State University,Computer Science,https://www.kent.edu/cs/faculty-staff
sp19_student,George Mason University,Computer Science,https://cs.gmu.edu/directory/by-category/faculty/
sp19_student,Cornell University ,Electrical and Computer Engineering,https://www.ece.cornell.edu/faculty-directory/
sp19_student,Brown University,Electrical and Computer Engineering,https://www.brown.edu/academics/engineering/electrical-and-computer-engineering-faculty
sp19_student,University of Iowa,Computer Science,https://cs.uiowa.edu/people/faculty
sp19_student,IIT Madras,Computer Science and Engineering,http://www.cse.iitm.ac.in/listpeople.php?arg=MSQw
sp19_student,University of Arizona,Computer Science,https://www.cs.arizona.edu/people/faculty
sp19_student,Iowa State University,Computer Science,https://www.cs.iastate.edu/people
sp19_student,Howard University,Computer Science,http://www.eece.cea.howard.edu/faculty
sp19_student,University of Waterloo,Computer Science,https://cs.uwaterloo.ca/about/people/group/49
